Survived,Pclass,Sex,Fare,Embarked,Initial,Family_Size,Alone
0,3,0,7.25,0.0,0,1,0
1,1,1,71.2833,1.0,1,1,0
1,3,1,7.925,0.0,2,0,1
1,1,1,53.1,0.0,1,1,0
0,3,0,8.05,0.0,0,0,1
0,3,0,8.4583,2.0,0,0,1
0,1,0,51.8625,0.0,0,0,1
0,3,0,21.075,0.0,3,4,0
1,3,1,11.1333,0.0,1,2,0
1,2,1,30.0708,1.0,1,1,0
1,3,1,16.7,0.0,2,2,0
1,1,1,26.55,0.0,2,0,1
0,3,0,8.05,0.0,0,0,1
0,3,0,31.275,0.0,0,6,0
0,3,1,7.8542,0.0,2,0,1
1,2,1,16.0,0.0,1,0,1
0,3,0,29.125,2.0,3,5,0
1,2,0,13.0,0.0,0,0,1
0,3,1,18.0,0.0,1,1,0
1,3,1,7.225,1.0,1,0,1
0,2,0,26.0,0.0,0,0,1
1,2,0,13.0,0.0,0,0,1
1,3,1,8.0292,2.0,2,0,1
1,1,0,35.5,0.0,0,0,1
0,3,1,21.075,0.0,2,4,0
1,3,1,31.3875,0.0,1,6,0
0,3,0,7.225,1.0,0,0,1
0,1,0,263.0,0.0,0,5,0
1,3,1,7.8792,2.0,2,0,1
0,3,0,7.8958,0.0,0,0,1
0,1,0,27.7208,1.0,0,0,1
1,1,1,146.5208,1.0,1,1,0
1,3,1,7.75,2.0,2,0,1
0,2,0,10.5,0.0,0,0,1
0,1,0,82.1708,1.0,0,1,0
0,1,0,52.0,0.0,0,1,0
1,3,0,7.2292,1.0,0,0,1
0,3,0,8.05,0.0,0,0,1
0,3,1,18.0,0.0,2,2,0
1,3,1,11.2417,1.0,2,1,0
0,3,1,9.475,0.0,1,1,0
0,2,1,21.0,0.0,1,1,0
0,3,0,7.8958,1.0,0,0,1
1,2,1,41.5792,1.0,2,3,0
1,3,1,7.8792,2.0,2,0,1
0,3,0,8.05,0.0,0,0,1
0,3,0,15.5,2.0,0,1,0
1,3,1,7.75,2.0,2,0,1
0,3,0,21.6792,1.0,0,2,0
0,3,1,17.8,0.0,1,1,0
0,3,0,39.6875,0.0,3,5,0
0,3,0,7.8,0.0,0,0,1
1,1,1,76.7292,1.0,1,1,0
1,2,1,26.0,0.0,1,1,0
0,1,0,61.9792,1.0,0,1,0
1,1,0,35.5,0.0,0,0,1
1,2,1,10.5,0.0,2,0,1
0,3,0,7.2292,1.0,0,0,1
1,2,1,27.75,0.0,2,3,0
0,3,0,46.9,0.0,3,7,0
0,3,0,7.2292,1.0,0,0,1
1,1,1,80.0,0.0,2,0,1
0,1,0,83.475,0.0,0,1,0
0,3,0,27.9,0.0,3,5,0
0,1,0,27.7208,1.0,0,0,1
1,3,0,15.2458,1.0,3,2,0
1,2,1,10.5,0.0,1,0,1
0,3,0,8.1583,0.0,0,0,1
1,3,1,7.925,0.0,2,6,0
0,3,0,8.6625,0.0,0,2,0
0,2,0,10.5,0.0,0,0,1
